Driver,LapNumber,LapTime,Compound,Stint,PitInTime,PitOutTime,Year,Round
HAM,35.0,0 days 00:01:35.489000,HARD,3.0,,,2024,1
HAM,36.0,0 days 00:01:35.279000,HARD,3.0,,,2024,1
HAM,37.0,0 days 00:01:35.597000,HARD,3.0,,,2024,1
HAM,38.0,0 days 00:01:34.966000,HARD,3.0,,,2024,1
HAM,39.0,0 days 00:01:34.722000,HARD,3.0,,,2024,1
HAM,40.0,0 days 00:01:35.041000,HARD,3.0,,,2024,1
HAM,41.0,0 days 00:01:34.940000,HARD,3.0,,,2024,1
HAM,42.0,0 days 00:01:34.996000,HARD,3.0,,,2024,1
HAM,43.0,0 days 00:01:34.935000,HARD,3.0,,,2024,1
HAM,44.0,0 days 00:01:35.169000,HARD,3.0,,,2024,1
HAM,45.0,0 days 00:01:35.184000,HARD,3.0,,,2024,1
HAM,46.0,0 days 00:01:35.285000,HARD,3.0,,,2024,1
HAM,47.0,0 days 00:01:35.226000,HARD,3.0,,,2024,1
HAM,48.0,0 days 00:01:36.165000,HARD,3.0,,,2024,1
HAM,49.0,0 days 00:01:35.914000,HARD,3.0,,,2024,1
HAM,50.0,0 days 00:01:35.612000,HARD,3.0,,,2024,1
HAM,51.0,0 days 00:01:35.532000,HARD,3.0,,,2024,1
HAM,52.0,0 days 00:01:35.479000,HARD,3.0,,,2024,1
HAM,53.0,0 days 00:01:35.550000,HARD,3.0,,,2024,1
HAM,54.0,0 days 00:01:35.974000,HARD,3.0,,,2024,1
HAM,55.0,0 days 00:01:35.633000,HARD,3.0,,,2024,1
HAM,56.0,0 days 00:01:35.706000,HARD,3.0,,,2024,1
HAM,57.0,0 days 00:01:36.138000,HARD,3.0,,,2024,1
PIA,1.0,0 days 00:01:42.523000,SOFT,1.0,,,2024,1
PIA,2.0,0 days 00:01:38.382000,SOFT,1.0,,,2024,1
PIA,3.0,0 days 00:01:38.258000,SOFT,1.0,,,2024,1
PIA,4.0,0 days 00:01:37.897000,SOFT,1.0,,,2024,1
PIA,5.0,0 days 00:01:37.859000,SOFT,1.0,,,2024,1
PIA,6.0,0 days 00:01:37.955000,SOFT,1.0,,,2024,1
PIA,7.0,0 days 00:01:37.984000,SOFT,1.0,,,2024,1
PIA,8.0,0 days 00:01:37.956000,SOFT,1.0,,,2024,1
PIA,9.0,0 days 00:01:38.096000,SOFT,1.0,,,2024,1
PIA,10.0,0 days 00:01:38.073000,SOFT,1.0,,,2024,1
PIA,11.0,0 days 00:01:38.397000,SOFT,1.0,,,2024,1
PIA,12.0,0 days 00:01:40.739000,SOFT,1.0,0 days 01:19:42.605000,,2024,1
PIA,13.0,0 days 00:01:58.689000,HARD,2.0,,0 days 01:20:08.021000,2024,1
PIA,14.0,0 days 00:01:36.796000,HARD,2.0,,,2024,1
PIA,15.0,0 days 00:01:36.823000,HARD,2.0,,,2024,1
PIA,16.0,0 days 00:01:36.427000,HARD,2.0,,,2024,1
PIA,17.0,0 days 00:01:36.872000,HARD,2.0,,,2024,1
PIA,18.0,0 days 00:01:37.095000,HARD,2.0,,,2024,1
PIA,19.0,0 days 00:01:36.577000,HARD,2.0,,,2024,1
PIA,20.0,0 days 00:01:36.644000,HARD,2.0,,,2024,1
PIA,21.0,0 days 00:01:36.733000,HARD,2.0,,,2024,1
PIA,22.0,0 days 00:01:36.555000,HARD,2.0,,,2024,1
PIA,23.0,0 days 00:01:36.680000,HARD,2.0,,,2024,1
PIA,24.0,0 days 00:01:36.884000,HARD,2.0,,,2024,1
PIA,25.0,0 days 00:01:37.008000,HARD,2.0,,,2024,1
PIA,26.0,0 days 00:01:36.882000,HARD,2.0,,,2024,1
PIA,27.0,0 days 00:01:36.905000,HARD,2.0,,,2024,1
PIA,28.0,0 days 00:01:36.905000,HARD,2.0,,,2024,1
PIA,29.0,0 days 00:01:37.179000,HARD,2.0,,,2024,1
PIA,30.0,0 days 00:01:37.177000,HARD,2.0,,,2024,1
PIA,31.0,0 days 00:01:37.570000,HARD,2.0,,,2024,1
PIA,32.0,0 days 00:01:37.163000,HARD,2.0,,,2024,1
PIA,33.0,0 days 00:01:37.088000,HARD,2.0,,,2024,1
PIA,34.0,0 days 00:01:39.211000,HARD,2.0,0 days 01:55:38.558000,,2024,1
PIA,35.0,0 days 00:01:59.703000,HARD,3.0,,0 days 01:56:03.352000,2024,1
PIA,36.0,0 days 00:01:35.153000,HARD,3.0,,,2024,1
PIA,37.0,0 days 00:01:34.774000,HARD,3.0,,,2024,1
PIA,38.0,0 days 00:01:35.298000,HARD,3.0,,,2024,1
PIA,39.0,0 days 00:01:34.983000,HARD,3.0,,,2024,1
PIA,40.0,0 days 00:01:35.005000,HARD,3.0,,,2024,1
PIA,41.0,0 days 00:01:35.109000,HARD,3.0,,,2024,1
PIA,42.0,0 days 00:01:35.341000,HARD,3.0,,,2024,1
PIA,43.0,0 days 00:01:35.258000,HARD,3.0,,,2024,1
PIA,44.0,0 days 00:01:35.238000,HARD,3.0,,,2024,1
PIA,45.0,0 days 00:01:35.306000,HARD,3.0,,,2024,1
PIA,46.0,0 days 00:01:35.296000,HARD,3.0,,,2024,1
PIA,47.0,0 days 00:01:35.376000,HARD,3.0,,,2024,1
PIA,48.0,0 days 00:01:35.702000,HARD,3.0,,,2024,1
PIA,49.0,0 days 00:01:35.653000,HARD,3.0,,,2024,1
PIA,50.0,0 days 00:01:35.984000,HARD,3.0,,,2024,1
PIA,51.0,0 days 00:01:35.800000,HARD,3.0,,,2024,1
PIA,52.0,0 days 00:01:36.024000,HARD,3.0,,,2024,1
PIA,53.0,0 days 00:01:35.739000,HARD,3.0,,,2024,1
PIA,54.0,0 days 00:01:36.107000,HARD,3.0,,,2024,1
PIA,55.0,0 days 00:01:35.973000,HARD,3.0,,,2024,1
PIA,56.0,0 days 00:01:36.100000,HARD,3.0,,,2024,1
PIA,57.0,0 days 00:01:35.920000,HARD,3.0,,,2024,1
ALO,1.0,0 days 00:01:41.679000,SOFT,1.0,,,2024,1
ALO,2.0,0 days 00:01:38.020000,SOFT,1.0,,,2024,1
ALO,3.0,0 days 00:01:39.046000,SOFT,1.0,,,2024,1
ALO,4.0,0 days 00:01:37.776000,SOFT,1.0,,,2024,1
ALO,5.0,0 days 00:01:39.292000,SOFT,1.0,,,2024,1
ALO,6.0,0 days 00:01:38.053000,SOFT,1.0,,,2024,1
ALO,7.0,0 days 00:01:38.008000,SOFT,1.0,,,2024,1
ALO,8.0,0 days 00:01:38.103000,SOFT,1.0,,,2024,1
ALO,9.0,0 days 00:01:38.896000,SOFT,1.0,,,2024,1
ALO,10.0,0 days 00:01:39.325000,SOFT,1.0,,,2024,1
ALO,11.0,0 days 00:01:38.554000,SOFT,1.0,,,2024,1
ALO,12.0,0 days 00:01:38.543000,SOFT,1.0,,,2024,1
ALO,13.0,0 days 00:01:38.587000,SOFT,1.0,,,2024,1
ALO,14.0,0 days 00:01:38.612000,SOFT,1.0,,,2024,1
ALO,15.0,0 days 00:01:41.101000,SOFT,1.0,0 days 01:24:42.030000,,2024,1
ALO,16.0,0 days 00:01:58.814000,HARD,2.0,,0 days 01:25:06.892000,2024,1
ALO,17.0,0 days 00:01:36.970000,HARD,2.0,,,2024,1
ALO,18.0,0 days 00:01:37.361000,HARD,2.0,,,2024,1
ALO,19.0,0 days 00:01:37.072000,HARD,2.0,,,2024,1
ALO,20.0,0 days 00:01:37.357000,HARD,2.0,,,2024,1
ALO,21.0,0 days 00:01:37.342000,HARD,2.0,,,2024,1
ALO,22.0,0 days 00:01:37.122000,HARD,2.0,,,2024,1
ALO,23.0,0 days 00:01:37.265000,HARD,2.0,,,2024,1
ALO,24.0,0 days 00:01:37.046000,HARD,2.0,,,2024,1
ALO,25.0,0 days 00:01:37.179000,HARD,2.0,,,2024,1
ALO,26.0,0 days 00:01:37.638000,HARD,2.0,,,2024,1
ALO,27.0,0 days 00:01:36.945000,HARD,2.0,,,2024,1
ALO,28.0,0 days 00:01:37.256000,HARD,2.0,,,2024,1
ALO,29.0,0 days 00:01:37.104000,HARD,2.0,,,2024,1
ALO,30.0,0 days 00:01:36.982000,HARD,2.0,,,2024,1
ALO,31.0,0 days 00:01:36.957000,HARD,2.0,,,2024,1
ALO,32.0,0 days 00:01:37.056000,HARD,2.0,,,2024,1
ALO,33.0,0 days 00:01:37.202000,HARD,2.0,,,2024,1
ALO,34.0,0 days 00:01:37.601000,HARD,2.0,,,2024,1
ALO,35.0,0 days 00:01:37.273000,HARD,2.0,,,2024,1
ALO,36.0,0 days 00:01:38.343000,HARD,2.0,,,2024,1
ALO,37.0,0 days 00:01:36.799000,HARD,2.0,,,2024,1
ALO,38.0,0 days 00:01:37.297000,HARD,2.0,,,2024,1
ALO,39.0,0 days 00:01:37.946000,HARD,2.0,,,2024,1
ALO,40.0,0 days 00:01:38.061000,HARD,2.0,,,2024,1
ALO,41.0,0 days 00:01:40.261000,HARD,2.0,0 days 02:07:16.321000,,2024,1
ALO,42.0,0 days 00:01:56.899000,HARD,3.0,,0 days 02:07:41.382000,2024,1
ALO,43.0,0 days 00:01:35.107000,HARD,3.0,,,2024,1
ALO,44.0,0 days 00:01:34.981000,HARD,3.0,,,2024,1
ALO,45.0,0 days 00:01:34.872000,HARD,3.0,,,2024,1
ALO,46.0,0 days 00:01:35.126000,HARD,3.0,,,2024,1
ALO,47.0,0 days 00:01:35.225000,HARD,3.0,,,2024,1
ALO,48.0,0 days 00:01:34.199000,HARD,3.0,,,2024,1
ALO,49.0,0 days 00:01:34.571000,HARD,3.0,,,2024,1
ALO,50.0,0 days 00:01:34.677000,HARD,3.0,,,2024,1
ALO,51.0,0 days 00:01:34.916000,HARD,3.0,,,2024,1
ALO,52.0,0 days 00:01:34.862000,HARD,3.0,,,2024,1
ALO,53.0,0 days 00:01:35.249000,HARD,3.0,,,2024,1
ALO,54.0,0 days 00:01:35.745000,HARD,3.0,,,2024,1
ALO,55.0,0 days 00:01:35.066000,HARD,3.0,,,2024,1
ALO,56.0,0 days 00:01:35.014000,HARD,3.0,,,2024,1
ALO,57.0,0 days 00:01:35.276000,HARD,3.0,,,2024,1
STR,1.0,0 days 00:01:50.214000,SOFT,1.0,,,2024,1
STR,2.0,0 days 00:01:37.987000,SOFT,1.0,,,2024,1
STR,3.0,0 days 00:01:38.279000,SOFT,1.0,,,2024,1
STR,4.0,0 days 00:01:38.364000,SOFT,1.0,,,2024,1
STR,5.0,0 days 00:01:38.725000,SOFT,1.0,,,2024,1
STR,6.0,0 days 00:01:38.925000,SOFT,1.0,,,2024,1
STR,7.0,0 days 00:01:38.769000,SOFT,1.0,,,2024,1
STR,8.0,0 days 00:01:38.857000,SOFT,1.0,,,2024,1
STR,9.0,0 days 00:01:42.112000,SOFT,1.0,0 days 01:15:00.719000,,2024,1
STR,10.0,0 days 00:01:57.815000,HARD,2.0,,0 days 01:15:25.073000,2024,1
STR,11.0,0 days 00:01:36.494000,HARD,2.0,,,2024,1
STR,12.0,0 days 00:01:37.175000,HARD,2.0,,,2024,1
STR,13.0,0 days 00:01:37.289000,HARD,2.0,,,2024,1
STR,14.0,0 days 00:01:37.624000,HARD,2.0,,,2024,1
STR,15.0,0 days 00:01:37.533000,HARD,2.0,,,2024,1
STR,16.0,0 days 00:01:38.027000,HARD,2.0,,,2024,1
STR,17.0,0 days 00:01:38.777000,HARD,2.0,,,2024,1
STR,18.0,0 days 00:01:37.417000,HARD,2.0,,,2024,1
STR,19.0,0 days 00:01:37.554000,HARD,2.0,,,2024,1
STR,20.0,0 days 00:01:37.859000,HARD,2.0,,,2024,1
STR,21.0,0 days 00:01:38.022000,HARD,2.0,,,2024,1
STR,22.0,0 days 00:01:38.175000,HARD,2.0,,,2024,1
STR,23.0,0 days 00:01:37.826000,HARD,2.0,,,2024,1
STR,24.0,0 days 00:01:38.138000,HARD,2.0,,,2024,1
STR,25.0,0 days 00:01:37.994000,HARD,2.0,,,2024,1
STR,26.0,0 days 00:01:38.133000,HARD,2.0,,,2024,1
STR,27.0,0 days 00:01:40.710000,HARD,2.0,0 days 01:44:43.480000,,2024,1
STR,28.0,0 days 00:01:56.640000,HARD,3.0,,0 days 01:45:07.900000,2024,1
STR,29.0,0 days 00:01:35.854000,HARD,3.0,,,2024,1
STR,30.0,0 days 00:01:35.632000,HARD,3.0,,,2024,1
STR,31.0,0 days 00:01:36.202000,HARD,3.0,,,2024,1
STR,32.0,0 days 00:01:35.821000,HARD,3.0,,,2024,1
STR,33.0,0 days 00:01:36.349000,HARD,3.0,,,2024,1
STR,34.0,0 days 00:01:36.332000,HARD,3.0,,,2024,1
STR,35.0,0 days 00:01:36.242000,HARD,3.0,,,2024,1
STR,36.0,0 days 00:01:36.086000,HARD,3.0,,,2024,1
STR,37.0,0 days 00:01:35.987000,HARD,3.0,,,2024,1
STR,38.0,0 days 00:01:36.364000,HARD,3.0,,,2024,1
STR,39.0,0 days 00:01:36.353000,HARD,3.0,,,2024,1
STR,40.0,0 days 00:01:36.485000,HARD,3.0,,,2024,1
STR,41.0,0 days 00:01:36.322000,HARD,3.0,,,2024,1
STR,42.0,0 days 00:01:36.343000,HARD,3.0,,,2024,1
STR,43.0,0 days 00:01:36.304000,HARD,3.0,,,2024,1
STR,44.0,0 days 00:01:36.564000,HARD,3.0,,,2024,1
STR,45.0,0 days 00:01:36.243000,HARD,3.0,,,2024,1
STR,46.0,0 days 00:01:36.379000,HARD,3.0,,,2024,1
STR,47.0,0 days 00:01:36.298000,HARD,3.0,,,2024,1
STR,48.0,0 days 00:01:37.325000,HARD,3.0,,,2024,1
STR,49.0,0 days 00:01:36.871000,HARD,3.0,,,2024,1
STR,50.0,0 days 00:01:36.541000,HARD,3.0,,,2024,1
STR,51.0,0 days 00:01:36.763000,HARD,3.0,,,2024,1
STR,52.0,0 days 00:01:36.934000,HARD,3.0,,,2024,1
STR,53.0,0 days 00:01:36.640000,HARD,3.0,,,2024,1
STR,54.0,0 days 00:01:36.693000,HARD,3.0,,,2024,1
STR,55.0,0 days 00:01:36.680000,HARD,3.0,,,2024,1
STR,56.0,0 days 00:01:36.582000,HARD,3.0,,,2024,1
STR,57.0,0 days 00:01:37.335000,HARD,3.0,,,2024,1
ZHO,1.0,0 days 00:01:44.801000,SOFT,1.0,,,2024,1
ZHO,2.0,0 days 00:01:38.920000,SOFT,1.0,,,2024,1
ZHO,3.0,0 days 00:01:38.582000,SOFT,1.0,,,2024,1
ZHO,4.0,0 days 00:01:38.428000,SOFT,1.0,,,2024,1
ZHO,5.0,0 days 00:01:38.798000,SOFT,1.0,,,2024,1
ZHO,6.0,0 days 00:01:38.488000,SOFT,1.0,,,2024,1
ZHO,7.0,0 days 00:01:39.517000,SOFT,1.0,,,2024,1
ZHO,8.0,0 days 00:01:39.646000,SOFT,1.0,,,2024,1
ZHO,9.0,0 days 00:01:41.849000,SOFT,1.0,0 days 01:14:57.559000,,2024,1
ZHO,10.0,0 days 00:01:59.328000,HARD,2.0,,0 days 01:15:22.700000,2024,1
ZHO,11.0,0 days 00:01:36.365000,HARD,2.0,,,2024,1
ZHO,12.0,0 days 00:01:36.995000,HARD,2.0,,,2024,1
ZHO,13.0,0 days 00:01:37.436000,HARD,2.0,,,2024,1
ZHO,14.0,0 days 00:01:37.482000,HARD,2.0,,,2024,1
ZHO,15.0,0 days 00:01:37.500000,HARD,2.0,,,2024,1
ZHO,16.0,0 days 00:01:37.659000,HARD,2.0,,,2024,1
ZHO,17.0,0 days 00:01:38.475000,HARD,2.0,,,2024,1
ZHO,18.0,0 days 00:01:37.552000,HARD,2.0,,,2024,1
ZHO,19.0,0 days 00:01:37.652000,HARD,2.0,,,2024,1
ZHO,20.0,0 days 00:01:37.749000,HARD,2.0,,,2024,1
ZHO,21.0,0 days 00:01:37.947000,HARD,2.0,,,2024,1
ZHO,22.0,0 days 00:01:37.852000,HARD,2.0,,,2024,1
ZHO,23.0,0 days 00:01:37.788000,HARD,2.0,,,2024,1
ZHO,24.0,0 days 00:01:37.894000,HARD,2.0,,,2024,1
ZHO,25.0,0 days 00:01:37.883000,HARD,2.0,,,2024,1
ZHO,26.0,0 days 00:01:37.995000,HARD,2.0,,,2024,1
ZHO,27.0,0 days 00:01:38.053000,HARD,2.0,,,2024,1
ZHO,28.0,0 days 00:01:40.675000,HARD,2.0,0 days 01:46:17.855000,,2024,1
ZHO,29.0,0 days 00:01:57.076000,HARD,3.0,,0 days 01:46:42.838000,2024,1
ZHO,30.0,0 days 00:01:35.458000,HARD,3.0,,,2024,1
ZHO,31.0,0 days 00:01:36.297000,HARD,3.0,,,2024,1
ZHO,32.0,0 days 00:01:36.048000,HARD,3.0,,,2024,1
ZHO,33.0,0 days 00:01:37.971000,HARD,3.0,,,2024,1
ZHO,34.0,0 days 00:01:36.518000,HARD,3.0,,,2024,1
ZHO,35.0,0 days 00:01:36.546000,HARD,3.0,,,2024,1
ZHO,36.0,0 days 00:01:36.931000,HARD,3.0,,,2024,1
ZHO,37.0,0 days 00:01:36.805000,HARD,3.0,,,2024,1
ZHO,38.0,0 days 00:01:36.857000,HARD,3.0,,,2024,1
ZHO,39.0,0 days 00:01:36.637000,HARD,3.0,,,2024,1
ZHO,40.0,0 days 00:01:36.683000,HARD,3.0,,,2024,1
ZHO,41.0,0 days 00:01:36.695000,HARD,3.0,,,2024,1
ZHO,42.0,0 days 00:01:36.652000,HARD,3.0,,,2024,1
ZHO,43.0,0 days 00:01:36.771000,HARD,3.0,,,2024,1
ZHO,44.0,0 days 00:01:37.417000,HARD,3.0,,,2024,1
ZHO,45.0,0 days 00:01:36.680000,HARD,3.0,,,2024,1
ZHO,46.0,0 days 00:01:36.741000,HARD,3.0,,,2024,1
ZHO,47.0,0 days 00:01:36.561000,HARD,3.0,,,2024,1
ZHO,48.0,0 days 00:01:36.654000,HARD,3.0,,,2024,1
ZHO,49.0,0 days 00:01:36.720000,HARD,3.0,,,2024,1
ZHO,50.0,0 days 00:01:36.792000,HARD,3.0,,,2024,1
ZHO,51.0,0 days 00:01:37.042000,HARD,3.0,,,2024,1
ZHO,52.0,0 days 00:01:37.394000,HARD,3.0,,,2024,1
ZHO,53.0,0 days 00:01:37.141000,HARD,3.0,,,2024,1
ZHO,54.0,0 days 00:01:38.389000,HARD,3.0,,,2024,1
ZHO,55.0,0 days 00:01:37.383000,HARD,3.0,,,2024,1
ZHO,56.0,0 days 00:01:37.333000,HARD,3.0,,,2024,1
MAG,1.0,0 days 00:01:44.349000,SOFT,1.0,,,2024,1
MAG,2.0,0 days 00:01:38.911000,SOFT,1.0,,,2024,1
MAG,3.0,0 days 00:01:38.399000,SOFT,1.0,,,2024,1
MAG,4.0,0 days 00:01:38.497000,SOFT,1.0,,,2024,1
MAG,5.0,0 days 00:01:38.576000,SOFT,1.0,,,2024,1
MAG,6.0,0 days 00:01:38.529000,SOFT,1.0,,,2024,1
MAG,7.0,0 days 00:01:40.058000,SOFT,1.0,,,2024,1
MAG,8.0,0 days 00:01:39.172000,SOFT,1.0,,,2024,1
MAG,9.0,0 days 00:01:38.861000,SOFT,1.0,,,2024,1
MAG,10.0,0 days 00:01:38.747000,SOFT,1.0,,,2024,1
MAG,11.0,0 days 00:01:41.088000,SOFT,1.0,0 days 01:18:13.697000,,2024,1
MAG,12.0,0 days 00:01:59.682000,HARD,2.0,,0 days 01:18:39.594000,2024,1
MAG,13.0,0 days 00:01:36.890000,HARD,2.0,,,2024,1
MAG,14.0,0 days 00:01:37.590000,HARD,2.0,,,2024,1
MAG,15.0,0 days 00:01:38.332000,HARD,2.0,,,2024,1
MAG,16.0,0 days 00:01:37.749000,HARD,2.0,,,2024,1
MAG,17.0,0 days 00:01:38.282000,HARD,2.0,,,2024,1
MAG,18.0,0 days 00:01:37.583000,HARD,2.0,,,2024,1
MAG,19.0,0 days 00:01:37.792000,HARD,2.0,,,2024,1
MAG,20.0,0 days 00:01:38.062000,HARD,2.0,,,2024,1
MAG,21.0,0 days 00:01:38.010000,HARD,2.0,,,2024,1
MAG,22.0,0 days 00:01:38.147000,HARD,2.0,,,2024,1
MAG,23.0,0 days 00:01:38.293000,HARD,2.0,,,2024,1
MAG,24.0,0 days 00:01:38.156000,HARD,2.0,,,2024,1
MAG,25.0,0 days 00:01:38.290000,HARD,2.0,,,2024,1
MAG,26.0,0 days 00:01:38.093000,HARD,2.0,,,2024,1
MAG,27.0,0 days 00:01:38.226000,HARD,2.0,,,2024,1
MAG,28.0,0 days 00:01:37.936000,HARD,2.0,,,2024,1
MAG,29.0,0 days 00:01:37.965000,HARD,2.0,,,2024,1
MAG,30.0,0 days 00:01:38.040000,HARD,2.0,,,2024,1
MAG,31.0,0 days 00:01:38,HARD,2.0,,,2024,1
MAG,32.0,0 days 00:01:40.565000,HARD,2.0,0 days 01:52:55.425000,,2024,1
MAG,33.0,0 days 00:01:56.655000,HARD,3.0,,0 days 01:53:19.982000,2024,1
MAG,34.0,0 days 00:01:35.570000,HARD,3.0,,,2024,1
MAG,35.0,0 days 00:01:35.698000,HARD,3.0,,,2024,1
MAG,36.0,0 days 00:01:35.851000,HARD,3.0,,,2024,1
MAG,37.0,0 days 00:01:35.741000,HARD,3.0,,,2024,1
MAG,38.0,0 days 00:01:36.042000,HARD,3.0,,,2024,1
MAG,39.0,0 days 00:01:35.876000,HARD,3.0,,,2024,1
MAG,40.0,0 days 00:01:36.071000,HARD,3.0,,,2024,1
MAG,41.0,0 days 00:01:36.340000,HARD,3.0,,,2024,1
MAG,42.0,0 days 00:01:36.310000,HARD,3.0,,,2024,1
MAG,43.0,0 days 00:01:36.232000,HARD,3.0,,,2024,1
MAG,44.0,0 days 00:01:36.249000,HARD,3.0,,,2024,1
MAG,45.0,0 days 00:01:36.349000,HARD,3.0,,,2024,1
MAG,46.0,0 days 00:01:36.446000,HARD,3.0,,,2024,1
MAG,47.0,0 days 00:01:36.454000,HARD,3.0,,,2024,1
MAG,48.0,0 days 00:01:36.679000,HARD,3.0,,,2024,1
MAG,49.0,0 days 00:01:36.842000,HARD,3.0,,,2024,1
MAG,50.0,0 days 00:01:37.035000,HARD,3.0,,,2024,1
MAG,51.0,0 days 00:01:36.929000,HARD,3.0,,,2024,1
MAG,52.0,0 days 00:01:36.930000,HARD,3.0,,,2024,1
MAG,53.0,0 days 00:01:37.958000,HARD,3.0,,,2024,1
MAG,54.0,0 days 00:01:36.890000,HARD,3.0,,,2024,1
MAG,55.0,0 days 00:01:37.457000,HARD,3.0,,,2024,1
MAG,56.0,0 days 00:01:37.584000,HARD,3.0,,,2024,1
RIC,1.0,0 days 00:01:45.668000,SOFT,1.0,,,2024,1
RIC,2.0,0 days 00:01:39.509000,SOFT,1.0,,,2024,1
RIC,3.0,0 days 00:01:38.760000,SOFT,1.0,,,2024,1
RIC,4.0,0 days 00:01:38.610000,SOFT,1.0,,,2024,1
RIC,5.0,0 days 00:01:38.704000,SOFT,1.0,,,2024,1
RIC,6.0,0 days 00:01:38.689000,SOFT,1.0,,,2024,1
RIC,7.0,0 days 00:01:39.193000,SOFT,1.0,,,2024,1
RIC,8.0,0 days 00:01:39.529000,SOFT,1.0,,,2024,1
RIC,9.0,0 days 00:01:39.338000,SOFT,1.0,,,2024,1
RIC,10.0,0 days 00:01:38.782000,SOFT,1.0,,,2024,1
RIC,11.0,0 days 00:01:39.033000,SOFT,1.0,,,2024,1
RIC,12.0,0 days 00:01:38.893000,SOFT,1.0,,,2024,1
RIC,13.0,0 days 00:01:42.173000,SOFT,1.0,0 days 01:21:35.789000,,2024,1
RIC,14.0,0 days 00:01:59.408000,HARD,2.0,,0 days 01:22:00.380000,2024,1
RIC,15.0,0 days 00:01:37.070000,HARD,2.0,,,2024,1
RIC,16.0,0 days 00:01:37.176000,HARD,2.0,,,2024,1
RIC,17.0,0 days 00:01:37.290000,HARD,2.0,,,2024,1
RIC,18.0,0 days 00:01:37.700000,HARD,2.0,,,2024,1
RIC,19.0,0 days 00:01:38.350000,HARD,2.0,,,2024,1
RIC,20.0,0 days 00:01:37.865000,HARD,2.0,,,2024,1
RIC,21.0,0 days 00:01:37.392000,HARD,2.0,,,2024,1
RIC,22.0,0 days 00:01:37.750000,HARD,2.0,,,2024,1
RIC,23.0,0 days 00:01:37.772000,HARD,2.0,,,2024,1
RIC,24.0,0 days 00:01:37.766000,HARD,2.0,,,2024,1
RIC,25.0,0 days 00:01:37.973000,HARD,2.0,,,2024,1
RIC,26.0,0 days 00:01:38.029000,HARD,2.0,,,2024,1
RIC,27.0,0 days 00:01:38.152000,HARD,2.0,,,2024,1
RIC,28.0,0 days 00:01:38.045000,HARD,2.0,,,2024,1
RIC,29.0,0 days 00:01:37.960000,HARD,2.0,,,2024,1
RIC,30.0,0 days 00:01:37.978000,HARD,2.0,,,2024,1
RIC,31.0,0 days 00:01:38.154000,HARD,2.0,,,2024,1
RIC,32.0,0 days 00:01:38.025000,HARD,2.0,,,2024,1
RIC,33.0,0 days 00:01:38.150000,HARD,2.0,,,2024,1
RIC,34.0,0 days 00:01:38.246000,HARD,2.0,,,2024,1
RIC,35.0,0 days 00:01:40.595000,HARD,2.0,0 days 01:57:52.253000,,2024,1
RIC,36.0,0 days 00:01:56.995000,SOFT,3.0,,0 days 01:58:17.022000,2024,1
RIC,37.0,0 days 00:01:35.163000,SOFT,3.0,,,2024,1
RIC,38.0,0 days 00:01:35.460000,SOFT,3.0,,,2024,1
RIC,39.0,0 days 00:01:35.475000,SOFT,3.0,,,2024,1
RIC,40.0,0 days 00:01:35.578000,SOFT,3.0,,,2024,1
RIC,41.0,0 days 00:01:35.644000,SOFT,3.0,,,2024,1
RIC,42.0,0 days 00:01:35.338000,SOFT,3.0,,,2024,1
RIC,43.0,0 days 00:01:35.560000,SOFT,3.0,,,2024,1
RIC,44.0,0 days 00:01:35.490000,SOFT,3.0,,,2024,1
RIC,45.0,0 days 00:01:35.570000,SOFT,3.0,,,2024,1
RIC,46.0,0 days 00:01:35.507000,SOFT,3.0,,,2024,1
RIC,47.0,0 days 00:01:35.831000,SOFT,3.0,,,2024,1
RIC,48.0,0 days 00:01:36.236000,SOFT,3.0,,,2024,1
RIC,49.0,0 days 00:01:36.442000,SOFT,3.0,,,2024,1
RIC,50.0,0 days 00:01:36.609000,SOFT,3.0,,,2024,1
RIC,51.0,0 days 00:01:37.103000,SOFT,3.0,,,2024,1
RIC,52.0,0 days 00:01:37.529000,SOFT,3.0,,,2024,1
RIC,53.0,0 days 00:01:36.745000,SOFT,3.0,,,2024,1
RIC,54.0,0 days 00:01:36.661000,SOFT,3.0,,,2024,1
RIC,55.0,0 days 00:01:37.375000,SOFT,3.0,,,2024,1
RIC,56.0,0 days 00:01:37.662000,SOFT,3.0,,,2024,1
TSU,1.0,0 days 00:01:43.485000,SOFT,1.0,,,2024,1
TSU,2.0,0 days 00:01:38.689000,SOFT,1.0,,,2024,1
TSU,3.0,0 days 00:01:38.431000,SOFT,1.0,,,2024,1
TSU,4.0,0 days 00:01:38.310000,SOFT,1.0,,,2024,1
TSU,5.0,0 days 00:01:38.321000,SOFT,1.0,,,2024,1
TSU,6.0,0 days 00:01:38.361000,SOFT,1.0,,,2024,1
TSU,7.0,0 days 00:01:38.364000,SOFT,1.0,,,2024,1
TSU,8.0,0 days 00:01:38.513000,SOFT,1.0,,,2024,1
TSU,9.0,0 days 00:01:38.554000,SOFT,1.0,,,2024,1
TSU,10.0,0 days 00:01:38.912000,SOFT,1.0,,,2024,1
TSU,11.0,0 days 00:01:38.799000,SOFT,1.0,,,2024,1
TSU,12.0,0 days 00:01:38.769000,SOFT,1.0,,,2024,1
TSU,13.0,0 days 00:01:38.860000,SOFT,1.0,,,2024,1
TSU,14.0,0 days 00:01:41.138000,SOFT,1.0,0 days 01:23:06.054000,,2024,1
